"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.610538333E-1,-8.056800789E-4,-2.733792588E-3,9.163171649E-3,9.596168870E-3
9.710408333E-1,-8.152434742E-4,-1.811645566E-2,-2.047519505E-2,2.735149356E-2
9.810268333E-1,3.855350220E-3,-2.692332175E-3,-3.334959447E-2,3.367948678E-2
9.910138333E-1,5.236898814E-3,-3.959848643E-3,-1.316792965E-3,6.696226862E-3
1.000999833E0,-5.907665812E-3,-3.866023673E-3,-2.963368893E-3,7.656906006E-3
1.010985833E0,5.369566656E-3,-4.954555957E-4,-3.349986792E-2,3.393109006E-2
1.020972833E0,-4.534655067E-3,-1.643537203E-2,-1.793224096E-2,2.474368235E-2
1.030958833E0,-3.397803311E-4,-1.990506868E-2,5.719161630E-3,2.071318468E-2
1.040945833E0,-4.371309900E-3,-1.229372523E-2,-6.405624747E-3,1.453533827E-2
1.050931833E0,-9.977739039E-3,1.087824223E-3,-3.215266943E-2,3.368282633E-2
1.060917833E0,-6.281478766E-3,1.459168098E-3,-3.413019776E-3,7.296221695E-3
1.070904833E0,2.285653758E-3,6.668945882E-3,8.412973881E-3,1.097620981E-2
1.080890833E0,-5.915998095E-3,7.777070906E-3,-1.613539159E-2,1.886352902E-2
1.090877833E0,-7.690429331E-3,2.471622624E-3,-2.212352514E-2,2.355211214E-2
1.100863833E0,-1.070651910E-2,3.275888865E-3,3.297829628E-4,1.120132831E-2
1.110849833E0,-1.160615891E-2,8.799483972E-3,6.317916512E-3,1.587607986E-2
1.120836833E0,-1.628804732E-2,1.591038799E-2,-5.506907701E-3,2.342577563E-2
1.130823500E0,-1.256049987E-2,1.323800487E-2,-2.421741307E-2,3.032315989E-2
1.140810500E0,-1.730410382E-3,-1.026532155E-2,-1.703118503E-2,1.996077178E-2
1.150796500E0,1.246096473E-4,-6.079094298E-4,-3.108964562E-3,3.170290537E-3
1.160782500E0,2.255337315E-3,1.208464159E-3,-2.765791476E-2,2.777601809E-2
1.170769500E0,5.078087524E-3,3.406469068E-3,-2.466355562E-2,2.541027313E-2
1.180755500E0,1.194295853E-2,-2.126833331E-4,-8.796551228E-3,1.483437919E-2
1.190742500E0,-3.470032413E-3,-1.956359586E-3,-8.946239948E-3,9.793042274E-3
